"REF_DATE","GEO","DGUID","Prices","Estimates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1993","Canada","2016A000011124","Chained (2017) dollars","Final domestic demand","Dollars","81","millions","6","v62787278","1.1.39","1137756","","","","0"
"1994","Canada","2016A000011124","Chained (2017) dollars","Final domestic demand","Dollars","81","millions","6","v62787278","1.1.39","1167850","","","","0"
"1995","Canada","2016A000011124","Chained (2017) dollars","Final domestic demand","Dollars","81","millions","6","v62787278","1.1.39","1177071","","","","0"
"1996","Canada","2016A000011124","Chained (2017) dollars","Final domestic demand","Dollars","81","millions","6","v62787278","1.1.39","1205279","","","","0"
"1997","Canada","2016A000011124","Chained (2017) dollars","Final domestic demand","Dollars","81","millions","6","v62787278","1.1.39","1265987","","","","0"
"1998","Canada","2016A000011124","Chained (2017) dollars","Final domestic demand","Dollars","81","millions","6","v62787278","1.1.39","1299829","","","","0"
"1999","Canada","2016A000011124","Chained (2017) dollars","Final domestic demand","Dollars","81","millions","6","v62787278","1.1.39","1349535","","","","0"
"2000","Canada","2016A000011124","Chained (2017) dollars","Final domestic demand","Dollars","81","millions","6","v62787278","1.1.39","1405500","","","","0"
"2001","Canada","2016A000011124","Chained (2017) dollars","Final domestic demand","Dollars","81","millions","6","v62787278","1.1.39","1449307","","","","0"
"2002","Canada","2016A000011124","Chained (2017) dollars","Final domestic demand","Dollars","81","millions","6","v62787278","1.1.39","1492804","","","","0"
"2003","Canada","2016A000011124","Chained (2017) dollars","Final domestic demand","Dollars","81","millions","6","v62787278","1.1.39","1541792","","","","0"
"2004","Canada","2016A000011124","Chained (2017) dollars","Final domestic demand","Dollars","81","millions","6","v62787278","1.1.39","1602522","","","","0"
"2005","Canada","2016A000011124","Chained (2017) dollars","Final domestic demand","Dollars","81","millions","6","v62787278","1.1.39","1674321","","","","0"
"2006","Canada","2016A000011124","Chained (2017) dollars","Final domestic demand","Dollars","81","millions","6","v62787278","1.1.39","1747694","","","","0"
"2007","Canada","2016A000011124","Chained (2017) dollars","Final domestic demand","Dollars","81","millions","6","v62787278","1.1.39","1812488","","","","0"
"2008","Canada","2016A000011124","Chained (2017) dollars","Final domestic demand","Dollars","81","millions","6","v62787278","1.1.39","1863487","","","","0"
"2009","Canada","2016A000011124","Chained (2017) dollars","Final domestic demand","Dollars","81","millions","6","v62787278","1.1.39","1822730","","","","0"
"2010","Canada","2016A000011124","Chained (2017) dollars","Final domestic demand","Dollars","81","millions","6","v62787278","1.1.39","1914134","","","","0"
"2011","Canada","2016A000011124","Chained (2017) dollars","Final domestic demand","Dollars","81","millions","6","v62787278","1.1.39","1964195","","","","0"
"2012","Canada","2016A000011124","Chained (2017) dollars","Final domestic demand","Dollars","81","millions","6","v62787278","1.1.39","2010293","","","","0"
"2013","Canada","2016A000011124","Chained (2017) dollars","Final domestic demand","Dollars","81","millions","6","v62787278","1.1.39","2043052","","","","0"
"2014","Canada","2016A000011124","Chained (2017) dollars","Final domestic demand","Dollars","81","millions","6","v62787278","1.1.39","2085660","","","","0"
"2015","Canada","2016A000011124","Chained (2017) dollars","Final domestic demand","Dollars","81","millions","6","v62787278","1.1.39","2091469","","","","0"
"2016","Canada","2016A000011124","Chained (2017) dollars","Final domestic demand","Dollars","81","millions","6","v62787278","1.1.39","2101103","","","","0"
"2017","Canada","2016A000011124","Chained (2017) dollars","Final domestic demand","Dollars","81","millions","6","v62787278","1.1.39","2170094","","","","0"
"2018","Canada","2016A000011124","Chained (2017) dollars","Final domestic demand","Dollars","81","millions","6","v62787278","1.1.39","2228262","","","","0"
"2019","Canada","2016A000011124","Chained (2017) dollars","Final domestic demand","Dollars","81","millions","6","v62787278","1.1.39","2257230","","","","0"
"2020","Canada","2016A000011124","Chained (2017) dollars","Final domestic demand","Dollars","81","millions","6","v62787278","1.1.39","2164051","","","","0"
"2021","Canada","2016A000011124","Chained (2017) dollars","Final domestic demand","Dollars","81","millions","6","v62787278","1.1.39","2302441","","","","0"
"2022","Canada","2016A000011124","Chained (2017) dollars","Final domestic demand","Dollars","81","millions","6","v62787278","1.1.39","2400841","","","","0"
"2023","Canada","2016A000011124","Chained (2017) dollars","Final domestic demand","Dollars","81","millions","6","v62787278","1.1.39","2437331","","","","0"
"2024","Canada","2016A000011124","Chained (2017) dollars","Final domestic demand","Dollars","81","millions","6","v62787278","1.1.39","2490145","","","","0"


