"Indexes of labour productivity and related measures, by business sector industry, seasonally adjusted c"
"Frequency: Quarterly"
"Table: 36-10-0207-01 (formerly CANSIM 383-0012)"
"Release date: 2025-09-03"
"Geography: Canada"
""
""

"Labour productivity measures and related variables","Real gross domestic product (GDP) 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Geography","Canada",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"North American Industry Classification System (NAICS) 2","Q1 1990","Q2 1990","Q3 1990","Q4 1990","Q1 1991","Q2 1991","Q3 1991","Q4 1991","Q1 1992","Q2 1992","Q3 1992","Q4 1992","Q1 1993","Q2 1993","Q3 1993","Q4 1993","Q1 1994","Q2 1994","Q3 1994","Q4 1994","Q1 1995","Q2 1995","Q3 1995","Q4 1995","Q1 1996","Q2 1996","Q3 1996","Q4 1996","Q1 1997","Q2 1997","Q3 1997","Q4 1997","Q1 1998","Q2 1998","Q3 1998","Q4 1998","Q1 1999","Q2 1999","Q3 1999","Q4 1999","Q1 2000","Q2 2000","Q3 2000","Q4 2000","Q1 2001","Q2 2001","Q3 2001","Q4 2001","Q1 2002","Q2 2002","Q3 2002","Q4 2002","Q1 2003","Q2 2003","Q3 2003","Q4 2003","Q1 2004","Q2 2004","Q3 2004","Q4 2004","Q1 2005","Q2 2005","Q3 2005","Q4 2005","Q1 2006","Q2 2006","Q3 2006","Q4 2006","Q1 2007","Q2 2007","Q3 2007","Q4 2007","Q1 2008","Q2 2008","Q3 2008","Q4 2008","Q1 2009","Q2 2009","Q3 2009","Q4 2009","Q1 2010","Q2 2010","Q3 2010","Q4 2010","Q1 2011","Q2 2011","Q3 2011","Q4 2011","Q1 2012","Q2 2012","Q3 2012","Q4 2012","Q1 2013","Q2 2013","Q3 2013","Q4 2013","Q1 2014","Q2 2014","Q3 2014","Q4 2014","Q1 2015","Q2 2015","Q3 2015","Q4 2015","Q1 2016","Q2 2016","Q3 2016","Q4 2016","Q1 2017","Q2 2017","Q3 2017","Q4 2017","Q1 2018","Q2 2018","Q3 2018","Q4 2018","Q1 2019","Q2 2019","Q3 2019","Q4 2019","Q1 2020","Q2 2020","Q3 2020","Q4 2020","Q1 2021","Q2 2021","Q3 2021","Q4 2021","Q1 2022","Q2 2022","Q3 2022","Q4 2022","Q1 2023","Q2 2023","Q3 2023","Q4 2023","Q1 2024","Q2 2024","Q3 2024","Q4 2024","Q1 2025","Q2 2025"
,"Index, 2017=100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Total economy 3","54.654","54.434","54.044","53.563","52.792","53.046","53.116","53.209","53.247","53.308","53.596","53.902","54.244","54.738","55.262","55.498","56.316","57.138","57.871","58.291","58.827","58.852","58.930","59.168","59.253","59.675","60.177","60.653","61.466","62.158","62.895","63.502","64.399","64.433","65.020","65.901","67.091","67.644","68.705","69.667","70.758","71.591","72.325","72.468","72.876","73.105","73.053","73.492","74.566","75.007","75.655","76.071","76.494","76.383","76.669","77.196","77.757","78.678","79.609","80.183","80.464","81.046","82.028","82.842","83.515","83.557","83.792","84.126","84.663","85.480","85.800","85.913","85.978","86.291","87.000","85.991","84.050","83.143","83.515","84.486","85.509","85.957","86.559","87.530","88.196","88.356","89.565","90.277","90.334","90.628","90.752","90.939","91.753","92.281","93.040","94.014","94.172","95.031","95.942","96.605","96.067","95.805","96.148","96.212","96.781","96.299","97.298","97.844","99.075","100.118","100.149","100.658","101.828","102.622","103.140","103.383","103.631","104.766","105.059","105.359","103.304","91.941","100.292","102.176","103.917","103.795","105.886","107.782","108.701","109.720","110.384","110.226","111.292","111.522","111.368","111.563","112.156","112.864","113.537","114.116","114.692","114.235"
"Business sector, goods 4","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","70.647","71.634","72.886","73.641","74.198","74.028","73.847","75.414","76.802","77.735","79.881","81.463","82.819","83.671","84.210","84.569","83.478","83.356","82.301","81.819","83.496","84.761","84.921","84.713","84.971","84.555","85.076","86.395","86.979","87.838","88.439","89.027","89.327","90.197","90.775","91.529","91.830","90.992","90.298","90.002","90.808","91.063","90.980","90.002","89.799","89.959","90.336","87.800","82.465","78.984","79.228","81.060","83.639","85.365","86.026","87.144","88.137","88.169","90.442","90.960","90.779","91.505","90.882","91.493","93.111","93.405","94.578","95.793","96.265","98.385","98.621","99.760","98.312","97.165","97.721","97.024","96.696","94.994","96.666","97.412","98.875","100.229","100.267","100.629","102.532","103.499","103.476","102.564","102.194","104.392","103.589","103.339","101.781","90.484","98.459","100.603","102.361","101.673","101.446","102.853","105.416","106.663","107.328","106.053","106.463","106.193","105.854","106.156","105.488","106.269","106.299","106.507","107.312","106.012"
"Agriculture, forestry, fishing and hunting  [11]","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","68.239","68.598","68.319","69.098","71.327","68.891","69.288","73.653","75.322","75.223","78.111","78.232","78.737","80.045","79.059","77.623","79.234","78.308","77.232","75.569","71.183","72.745","73.254","75.809","77.715","76.557","75.210","77.397","79.082","81.521","84.026","84.137","82.519","84.485","86.609","83.755","83.168","81.361","77.522","73.952","70.928","66.857","67.902","69.219","71.433","74.179","76.168","75.792","72.970","68.115","67.181","68.140","69.118","69.659","70.321","70.676","72.579","73.037","72.931","73.256","71.634","72.105","74.063","77.049","81.838","85.847","90.026","91.140","89.106","89.753","89.505","90.599","91.983","93.269","94.213","95.839","96.489","96.793","98.629","99.419","100.324","100.018","99.927","99.731","100.403","100.237","99.268","98.402","100.546","102.231","102.180","102.668","102.472","102.707","103.532","100.025","93.308","88.191","79.952","83.458","93.687","100.088","107.401","105.810","101.471","98.117","95.100","96.769","98.565","100.005","101.450","101.862","101.373","100.362"
"Mining and oil and gas extraction  [21]","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","67.782","68.491","70.792","71.485","70.820","69.401","68.513","67.709","69.817","69.853","72.145","73.521","73.193","73.456","72.037","72.550","72.635","73.513","72.647","71.759","72.893","73.253","73.331","73.958","75.960","75.732","77.522","77.567","79.117","80.085","78.962","79.107","78.577","80.155","81.378","83.905","83.433","83.875","83.211","83.463","83.884","83.259","83.479","81.008","81.131","80.824","82.536","80.171","76.785","70.988","70.571","72.208","76.166","79.671","79.859","83.067","83.110","83.225","87.677","86.920","85.131","84.569","81.352","83.355","86.851","86.476","88.351","90.217","92.447","96.977","94.794","96.312","93.044","89.952","94.121","92.892","90.757","84.468","93.004","97.009","99.411","101.415","101.418","97.756","102.757","105.498","106.024","103.447","100.790","108.409","103.288","101.483","106.973","89.188","89.475","95.649","99.801","97.577","101.666","102.110","101.916","105.822","107.202","105.045","105.623","104.875","106.670","109.222","109.106","112.177","112.746","113.934","115.420","114.339"
"Utilities  [22]","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","80.773","79.557","77.714","78.852","77.597","77.605","79.381","77.874","77.983","77.928","79.352","77.581","77.940","77.912","78.110","78.719","76.210","76.777","75.118","76.102","77.679","80.536","81.876","82.963","83.847","82.074","81.173","79.548","80.857","80.465","81.902","84.628","85.206","86.098","87.109","86.184","84.202","84.888","85.832","84.875","87.468","90.441","90.471","92.115","94.423","95.469","95.078","93.023","90.951","88.188","87.497","90.098","90.176","88.550","90.062","91.797","93.544","93.970","93.877","91.569","90.709","91.842","93.335","92.730","90.575","91.227","91.910","95.034","95.248","95.226","95.081","97.123","99.110","97.282","95.164","93.451","96.423","98.740","100.868","98.300","99.298","99.407","100.253","101.042","100.675","100.592","103.867","105.248","105.764","104.440","103.774","106.053","103.730","103.836","104.872","103.583","103.167","104.613","104.928","104.073","107.667","106.577","108.404","106.243","106.163","106.197","103.774","104.728","103.968","104.889","107.218","106.130","109.851","106.000"
"Construction  [23]","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","51.402","52.897","54.294","54.362","54.344","53.962","53.471","53.361","54.518","55.476","56.407","58.264","58.896","58.309","58.539","59.179","61.115","61.881","63.156","64.354","64.794","65.949","66.404","66.991","67.017","67.357","68.277","69.241","70.353","71.236","72.327","73.236","74.200","75.249","75.580","76.211","77.450","77.932","78.472","79.634","81.198","82.748","83.635","83.550","85.360","84.955","85.110","84.542","79.240","78.188","79.393","82.264","85.150","85.877","86.711","87.595","88.730","88.507","90.221","91.378","93.952","96.587","97.490","99.244","100.151","100.861","101.568","101.540","102.036","102.784","104.327","105.657","102.997","101.593","100.865","99.657","98.040","96.023","95.293","96.304","97.472","99.140","100.810","102.577","103.560","104.128","102.648","101.391","101.515","103.000","105.048","105.360","104.842","95.250","101.957","104.108","108.480","111.303","108.116","109.027","111.214","111.117","110.083","110.077","109.848","110.080","109.792","108.610","108.901","108.942","109.317","110.428","110.419","110.680"
"Manufacturing  [31-33]","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","86.261","87.736","89.608","90.639","92.002","92.580","92.162","95.392","97.036","98.732","101.710","104.390","106.941","108.973","110.984","111.377","107.895","106.776","104.484","103.191","106.995","108.444","108.214","106.459","105.598","105.189","105.534","108.283","107.592","108.372","109.293","109.682","110.707","110.854","110.819","111.312","112.559","109.526","107.914","106.549","106.966","106.895","105.466","104.084","101.504","101.987","100.966","96.326","88.515","84.991","85.417","86.582","88.895","90.788","91.449","91.053","92.439","92.401","94.096","95.813","95.632","95.874","95.125","93.582","94.361","94.099","94.625","95.883","95.562","97.268","98.572","98.830","98.278","97.927","98.251","97.981","98.502","97.674","98.172","98.054","99.400","100.658","99.292","100.651","102.450","103.220","103.426","103.157","103.083","103.642","102.994","102.462","97.244","82.492","97.486","99.794","100.878","99.120","99.445","101.845","104.723","104.456","104.153","102.700","104.314","104.438","103.478","102.829","101.073","101.141","100.178","99.131","99.658","97.601"
"Business sector, services 1 5","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","52.961","53.824","54.817","55.628","56.382","56.875","57.592","58.520","59.378","60.279","61.114","62.271","63.451","64.145","65.051","65.613","66.477","66.768","67.146","68.025","69.070","69.426","70.070","70.502","70.719","70.870","71.403","72.114","72.741","73.644","74.313","74.994","75.552","76.339","77.134","78.047","79.127","79.690","80.204","81.101","81.494","82.736","83.443","83.753","83.569","83.608","83.800","82.643","81.586","81.466","81.718","82.162","83.055","83.089","83.599","84.774","85.695","85.779","86.644","87.366","87.722","88.037","88.533","88.348","89.157","90.121","90.913","91.917","92.120","93.136","94.268","94.459","94.215","94.538","94.982","95.372","96.108","96.057","96.893","97.403","98.944","100.245","100.122","100.689","101.521","102.095","102.927","103.830","104.475","105.524","106.349","106.715","103.450","88.255","99.342","101.791","103.430","103.218","107.085","110.489","110.714","111.722","112.302","112.210","113.777","114.368","114.233","114.862","115.707","116.128","116.737","117.452","117.650","117.767"
"Wholesale trade  [41]","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","47.610","48.986","51.497","52.894","53.414","54.508","54.412","55.250","56.742","56.989","57.894","59.576","60.119","60.913","62.006","62.515","62.670","63.040","64.465","63.304","64.728","65.781","67.096","66.877","68.662","69.051","68.538","70.577","70.283","71.021","72.096","73.745","74.872","76.050","76.546","78.888","80.071","80.914","80.579","81.013","83.916","85.627","84.844","84.579","84.298","84.713","85.248","81.663","77.328","77.077","78.343","80.278","82.665","83.151","83.944","86.804","89.148","88.913","91.151","92.577","92.427","93.696","94.000","94.309","95.982","96.570","98.524","99.182","98.694","100.276","101.644","99.632","97.503","97.490","95.688","96.511","96.973","95.973","96.229","97.373","99.335","99.893","99.536","101.236","101.743","103.609","103.844","103.907","104.735","107.306","107.908","107.816","106.330","93.281","112.049","112.543","113.218","111.783","109.408","114.325","115.171","112.495","111.960","111.000","113.252","111.302","112.597","113.902","114.004","113.411","113.178","114.913","116.508","114.275"
